teacher_id,item_name,item_year,item_type,journal,journal_type,co_worker_in,co_worker_out,scholarship_type,equis
103903.0,Using Matrix Factorization and Evolutionary Strategy to Develop a Latent Factor Recommendation System for an Offline Retailer,2020,,,X,,"Chang, Y.Y., & Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,The valuation effects of accrual-based earnings management and real activities manipulation associated with the elimination of the form 20-F reconciliation requirement,2016,,,X,,"Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,The Effects of Social Anxiety Moderating Social Factors for Influencing Social Commerce,2019,,,X,,"C-L, Wu",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,Subjective association rule mining: From point-based ranking sequence to interval-based temporal sequence,2018,,,X,,"•	Yang∗, P-T, Yang, K-H, Chen, C-C",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,"How Risk Tolerance Constrains Perceived Risk on Smartphone Users’ Risk Behavior, ' Proceedings of ITNG 2017, Premier Hall for Advancing Science and Engineering.(EI)(*為通訊作者)",2017,,,X,,,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,How behaviors on social network sites and online social capital influence social commerce: The case of Facebook,2016,,,X,,吳至倫*;梁定澎,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,Distribution Management at World Peace Industrial Group,2016,,,X,,,Basic_or_Discovery_Scholarship,E7:Books (e.g. research monographs)
103903.0,CEO’s Supply chain knowledge and audit pricing,2019,,,X,,"Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
111758.0,Revisiting Online Video Popularity: A Sentimental Analysis,2019,期刊論文,Cybernetics and Systems: An International Journal,X,,Wei-Lun Chang,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
103903.0,"CEO tenure, internal governance, and earnings management",2018,,,X,,"Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,An analysis of flight delays at Taoyuan Airport,2020,,,X,,"Hwang, H. K. & Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
103903.0,Earnings Management Strategies of IFRS versus U.S. GAAP Firms Associated with Relaxing the Reconciliation Requirement in Foreign Private Issuers’ SEC Filings,2018,期刊論文,NTU Management Review (臺大管理論叢),O,,"Chao, C.",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
103903.0,"HOW DOES SOCIAL IDENTIFICATION MODERATE the REPURCHASE INTENTION? From the PERSPECTIVE of OGB,""",2019,期刊論文,Journal of Organizational and End User Computing,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
103903.0,A study of active and passive user participation in virtual communities,2016,期刊論文,Journal of Electronic Commerce Research,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
103903.0,How behaviors on social network sites and online social capital influence social commerce intentions,2019,期刊論文,Information & Management,O,,"Wu, C-L",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
103903.0,A Study of the paying behaviour for subscribing social network sites,2016,期刊論文,Computer Communications,O,,李易諭;吳志倫,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305021.0,數位轉型策略與領導力以及管理能力發展關聯性研究,2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
305021.0,The relationship between corporate governance and HRM: an empirical study of HPWS adoption,2016,,,X,"Hsu, Dun Huei and Han, Tzu-Shian",,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305021.0,Measurement development of service quality for museum websites displaying artifacts,2016,,,X,"Tzu-Shian Han, Rua-Huan Tsaih, Hsu-Hsin Chiang",,Applied_or_Integration_Application_Scholarship,E9:Textbooks
305021.0,Building a Culture of Innovation,2016,,,X,"Tzu-Shian Han, Yi-An Chen",,Applied_or_Integration_Application_Scholarship,E9:Textbooks
103903.0,"CEO succession, audit pricing, and firm value: the role of supply chain knowledge",2019,,,X,,"Chao, C.",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
127361.0,Mentoring and protégé voice: The mediating role of job satisfaction and moderating role of power distance orientation.,2018,,,X,"Hu, C.",,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
104912.0,A Two-Step Model for Self-Organized Social Network Pre-Construction,2016,期刊論文,Telematics and Informatics,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
104912.0,Does Beauty Matter? Exploring the Relationship Between Self-Consciousness and Physical Attractiveness,2019,期刊論文,"Kybernetes: The international journal of cybernetics, systems and management sciences",O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305020.0,信義房屋的「社區一家」計畫,2019,,,X,劉世慶,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,阿里巴巴工程師搶月餅事件,2017,,,X,劉世慶,陳嘉純,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,在欉紅果醬公司的瓶頸,2018,,,X,,陳明怡,Teaching_and_Learning_Scholarship,E4:Papers in Academic conferences
305020.0,合樸農學市集：社群支持的競爭力,2016,,,X,劉世慶,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,目標設定與自我差距對於健康促進行為與成效的影響 (The Effects of Goal Setting and Self-Discrepancy on Health Improvement Behaviors and Outcomes),2020,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
305020.0,以眼動注視反應探討品牌識別標誌之美感判斷歷程,2017,,,X,,蔡介立、楊偉顥、游婉雲,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,以自發性導引法再探虛擬世界中的沉浸體驗,2017,,,X,樓永堅,黃增隆,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,主觀產品知識與素樸理論對產品資訊中遺漏訊息推論的影響,2017,,,X,,成力庚,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,中華電信499促銷方案,2019,,,X,劉世慶,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,The Neuroscience Viewpoint on the Interaction Effect between Persuasive Arguments and Celebrity on Attitude Change,2017,,,X,,"Li-Keng Cheng, Wei-Chin Hsu, and Yu-Shan Athena Chen",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,The Effects of Subjective Knowledge and Naïve Theory on Consumers’ Inference of Missing Information,2018,,,X,,Li-Keng Cheng,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,Structured Abstract: How the Logo Frame Impacts on Brand Extension,2016,,,X,,"Chen, Yu-Shan Athena",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,PSI與Baratza的合作模式,2017,,,X,劉世慶,陳孟凱,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,Effects of Egoism on Service Failure Recovery,2019,,,X,,Li-Keng Cheng,Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,A科技公司,2019,,,X,彭朱如,,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,AI Assistant is My Bestie: Exploring the Effect of Social Role on Relationship Building with AI Assistant Enabled Smart Speakers,2020,,,X,,"Lee, Crystal T., Cacelert Wei-Hao Yang, Yung-Cheng Shen",Basic_or_Discovery_Scholarship,E4:Papers in Academic conferences
305020.0,2016耶誕市集暨購物中心滿意度調查,2016,,,X,,,Applied_or_Integration_Application_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
305020.0,「秒買秒退」事件,2017,,,X,劉世慶,陳嘉純,Teaching_and_Learning_Scholarship,E6:Published Case Studies
305020.0,"Reviewing Regulatory Focus Based on Four Regulatory Forms,” Review of General Psychology, 21(4), 354-371. (SSCI, IF: 1.492)",2017,期刊論文,Review of General Psychology,O,,Yu-Shan Athena Chen,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305020.0,The Effects of Logo Frame Design on Brand Extensions,2019,期刊論文,Journal of Product & Brand Management,O,,"Chen, Yu-Shan Athena",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
125884.0,"When social media influencers endorse brands: The effects of self-influencer congruence, parasocial identification, and perceived endorser motive",2020,期刊論文,International Journal of Advertising,O,,"Jhih-Syuan Lin, Yan Shan",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
305020.0,消費者道德價值觀原則與發展階段對廠商反向錯誤修復效果的影響 (The Impacts of Consumers’ Justice Principles and Development on the Acceptance toward Providers’ Reversed Failure Recovery)，科技部專題研究計畫，編號：MOST 106-2410-H-004 -036 -MY2，8/2017-7/2019,2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
305020.0,新興科技創新營運模式-金融科技創新營運研究中心設立與維運計畫-總計畫及子計畫四(3/4),2019,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
124481.0,Factors affecting college students’ brand loyalty toward fast fashion: A consumer-based brand equity approachInternational Journal of Retail & Distribution Management,2017,期刊論文,International Journal of Retail & Distribution Management,X,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
124481.0,"Sara H. Hsieh*;Aihwa Chang, 2016.04, ""The Psychological Mechanism of Brand Co-creation Engagement,"" Journal of interactive marketing, Vol.33, pp.13-26.(SSCI)(*為通訊作者)",2016,期刊論文,Journal of interactive marketing,X,,謝慧璋,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
104912.0,Exploring Trust Transfer in Mobile Payment Adoption,2020,期刊論文,Journal of Technology Management (科技管理學刊),O,,Chia-Yung Lo,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
104912.0,Coopetition Under Alliance? Applying Awareness-Motivation-Capability Competitive Dynamics Perspective,2016,期刊論文,Journal of Business Economics and Management,O,,Chia-Ling Chiu,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
104912.0,Nurturing User Creative Performance in Social Media Networks: An Integration of Habit of Use with Social Capital and Information Exchange Theorie,2016,期刊論文,Internet Research,O,Eldon Y. Li,Ya-Ling Wu,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
