teacher_id,year,semester,degree,num_class
118330,112,2,學士班,1
101654,112,2,學士班,1
121802,112,2,學士班,1
129361,112,2,學士班,2
130016,112,2,學士班,1
104849,112,2,學士班,3
122802,112,2,學士班,2
124088,112,2,學士班,1
121779,112,2,學士班,1
102062,112,2,學士班,2
102048,112,2,學士班,2
127269,112,2,學士班,3
305021,112,2,學士班,2
123260,112,2,學士班,2
117143,112,2,學士班,1
118586,112,2,學士班,2
105977,112,2,學士班,6
107991,112,2,學士班,3
128808,112,2,學士班,1
102104,112,2,學士班,1
122580,112,2,學士班,1
117118,112,2,學士班,5
101476,112,1,一般碩士班,1
101388,112,1,一般碩士班,2
131349,112,1,一般碩士班,1
112225,112,1,一般碩士班,1
102102,112,1,一般碩士班,10
130038,112,1,一般碩士班,1
354008,112,1,一般碩士班,3
305020,112,1,一般碩士班,4
353004,112,1,一般碩士班,2
128564,112,1,一般碩士班,1
307005,112,1,一般碩士班,1
128823,112,1,一般碩士班,2
102323,112,1,一般碩士班,1
117535,112,1,一般碩士班,5
102107,112,1,一般碩士班,1
121785,112,1,一般碩士班,1
128689,112,1,一般碩士班,1
128727,112,1,一般碩士班,1
128219,112,1,一般碩士班,1
117066,112,1,一般碩士班,1
102306,112,1,一般碩士班,1
107982,112,1,一般碩士班,1
113641,112,1,一般碩士班,3
117599,112,1,一般碩士班,1
121784,112,1,一般碩士班,1
102349,112,1,一般碩士班,1
107022,112,1,一般碩士班,1
308002,112,1,一般碩士班,3
123945,112,1,一般碩士班,1
116259,112,1,一般碩士班,4
307001,112,1,一般碩士班,1
113045,112,1,一般碩士班,1
125959,112,1,一般碩士班,1
303017,112,1,一般碩士班,1
103902,112,1,一般碩士班,1
601009,112,1,一般碩士班,1
125918,112,1,一般碩士班,1
129541,112,1,一般碩士班,1
121807,112,1,一般碩士班,2
131004,112,1,一般碩士班,1
123944,112,1,一般碩士班,1
113492,112,1,一般碩士班,1
130036,112,1,一般碩士班,4
111197,112,1,一般碩士班,1
126891,112,1,一般碩士班,3
308003,112,1,一般碩士班,2
102108,112,1,一般碩士班,1
102700,112,1,一般碩士班,1
124481,112,1,一般碩士班,1
101454,112,1,一般碩士班,1
115112,112,1,一般碩士班,3
102105,112,1,一般碩士班,2
102106,112,1,一般碩士班,1
130035,112,1,一般碩士班,1
130158,112,1,一般碩士班,1
117067,112,1,一般碩士班,1
114664,112,1,一般碩士班,1
102064,112,1,一般碩士班,2
124035,112,1,一般碩士班,1
101607,112,1,一般碩士班,1
126927,112,1,一般碩士班,1
119430,112,1,一般碩士班,3
119794,112,1,一般碩士班,3
130147,112,1,一般碩士班,1
102657,112,1,一般碩士班,6
113809,112,1,一般碩士班,1
308508,112,1,一般碩士班,1
118656,112,1,一般碩士班,2
301019,112,1,一般碩士班,1
125547,112,1,一般碩士班,1
114671,112,1,一般碩士班,1
125917,112,1,一般碩士班,2
306012,112,1,一般碩士班,2
101854,112,1,一般碩士班,1
105859,112,1,一般碩士班,1
125919,112,1,一般碩士班,1
104973,112,1,一般碩士班,1
301015,112,1,一般碩士班,2
130040,112,1,一般碩士班,1
354005,112,1,一般碩士班,1
116258,112,1,一般碩士班,3
128694,112,1,一般碩士班,2
305018,112,1,一般碩士班,3
101600,112,1,一般碩士班,1
113811,112,1,一般碩士班,1
306009,112,1,一般碩士班,2
103897,112,1,一般碩士班,1
102063,112,1,一般碩士班,1
127357,112,1,一般碩士班,1
304009,112,1,一般碩士班,2
118330,112,1,一般碩士班,1
101654,112,1,一般碩士班,2
121802,112,1,一般碩士班,2
129361,112,1,一般碩士班,1
104849,112,1,一般碩士班,1
102809,112,1,一般碩士班,1
107009,112,1,一般碩士班,1
121779,112,1,一般碩士班,2
102048,112,1,一般碩士班,2
127269,112,1,一般碩士班,1
118586,112,1,一般碩士班,2
128808,112,1,一般碩士班,2
117118,112,1,一般碩士班,1
131545,112,1,一般碩士班,1
114576,112,2,一般碩士班,1
101388,112,2,一般碩士班,2
131349,112,2,一般碩士班,1
110327,112,2,一般碩士班,1
127278,112,2,一般碩士班,1
125908,112,2,一般碩士班,2
132481,112,2,一般碩士班,2
112225,112,2,一般碩士班,1
102102,112,2,一般碩士班,2
130038,112,2,一般碩士班,1
354008,112,2,一般碩士班,2
305020,112,2,一般碩士班,1
353004,112,2,一般碩士班,1
128564,112,2,一般碩士班,1
307005,112,2,一般碩士班,1
128823,112,2,一般碩士班,3
130717,112,2,一般碩士班,1
102323,112,2,一般碩士班,1
117535,112,2,一般碩士班,2
102107,112,2,一般碩士班,1
121785,112,2,一般碩士班,1
126893,112,2,一般碩士班,1
128689,112,2,一般碩士班,1
122684,112,2,一般碩士班,1
125803,112,2,一般碩士班,2
118733,112,2,一般碩士班,1
107982,112,2,一般碩士班,1
117599,112,2,一般碩士班,1
102349,112,2,一般碩士班,1
107022,112,2,一般碩士班,1
308002,112,2,一般碩士班,2
116259,112,2,一般碩士班,1
301018,112,2,一般碩士班,2
102703,112,2,一般碩士班,1
125959,112,2,一般碩士班,1
303017,112,2,一般碩士班,1
103902,112,2,一般碩士班,1
125918,112,2,一般碩士班,2
129541,112,2,一般碩士班,2
103903,112,2,一般碩士班,1
131004,112,2,一般碩士班,3
107924,112,2,一般碩士班,1
113618,112,2,一般碩士班,1
113492,112,2,一般碩士班,1
130036,112,2,一般碩士班,1
132477,112,2,一般碩士班,1
111197,112,2,一般碩士班,1
122817,112,2,一般碩士班,1
126891,112,2,一般碩士班,3
122813,112,2,一般碩士班,1
102108,112,2,一般碩士班,1
131348,112,2,一般碩士班,1
128824,112,2,一般碩士班,1
102700,112,2,一般碩士班,2
115112,112,2,一般碩士班,1
102105,112,2,一般碩士班,1
128835,112,2,一般碩士班,2
130158,112,2,一般碩士班,2
117067,112,2,一般碩士班,1
114664,112,2,一般碩士班,2
129966,112,2,一般碩士班,1
119796,112,2,一般碩士班,1
102064,112,2,一般碩士班,3
101607,112,2,一般碩士班,2
126927,112,2,一般碩士班,1
111758,112,2,一般碩士班,1
101567,112,2,一般碩士班,2
119430,112,2,一般碩士班,2
119794,112,2,一般碩士班,2
101830,112,2,一般碩士班,1
102657,112,2,一般碩士班,3
308508,112,2,一般碩士班,1
101627,112,2,一般碩士班,1
118658,112,2,一般碩士班,1
118656,112,2,一般碩士班,1
124573,112,2,一般碩士班,1
301019,112,2,一般碩士班,1
111578,112,2,一般碩士班,1
114671,112,2,一般碩士班,1
125917,112,2,一般碩士班,1
115045,112,2,一般碩士班,1
306012,112,2,一般碩士班,2
101854,112,2,一般碩士班,1
105923,112,2,一般碩士班,1
125919,112,2,一般碩士班,1
101801,112,2,一般碩士班,2
301015,112,2,一般碩士班,2
130040,112,2,一般碩士班,1
116258,112,2,一般碩士班,2
125511,112,2,一般碩士班,2
101831,112,2,一般碩士班,1
128694,112,2,一般碩士班,1
128284,112,2,一般碩士班,1
113613,112,2,一般碩士班,1
124028,112,2,一般碩士班,1
119795,112,2,一般碩士班,1
127273,112,2,一般碩士班,1
101600,112,2,一般碩士班,1
124532,112,2,一般碩士班,1
306009,112,2,一般碩士班,2
103897,112,2,一般碩士班,2
102063,112,2,一般碩士班,2
118330,112,2,一般碩士班,1
101654,112,2,一般碩士班,1
121802,112,2,一般碩士班,2
104849,112,2,一般碩士班,1
122802,112,2,一般碩士班,2
107009,112,2,一般碩士班,2
258509,112,2,一般碩士班,1
124088,112,2,一般碩士班,1
121779,112,2,一般碩士班,1
102048,112,2,一般碩士班,3
127269,112,2,一般碩士班,2
305021,112,2,一般碩士班,1
123260,112,2,一般碩士班,1
118586,112,2,一般碩士班,1
107991,112,2,一般碩士班,1
128808,112,2,一般碩士班,1
102104,112,2,一般碩士班,1
122580,112,2,一般碩士班,2
117118,112,2,一般碩士班,2
125908,112,1,博士班,1
102102,112,1,博士班,1
130038,112,1,博士班,1
128823,112,1,博士班,1
117535,112,1,博士班,1
107983,112,1,博士班,1
125803,112,1,博士班,1
113045,112,1,博士班,1
303017,112,1,博士班,1
107924,112,1,博士班,1
102700,112,1,博士班,1
115112,112,1,博士班,1
102106,112,1,博士班,1
130158,112,1,博士班,1
114664,112,1,博士班,2
102064,112,1,博士班,2
129360,112,1,博士班,1
123991,112,1,博士班,1
